legacy_id	new_id
DMP0977	P-0001054-T01
DMP0973	P-0001055-T01
DMP0984	P-0001056-T01
DMP0983	P-0001057-T01
DMP0976	P-0001058-T01
DMP0974	P-0001060-T01
DMP0975	P-0001061-T01
DMP0972	P-0001062-T01
DMP0978	P-0001063-T01
DMP0988	P-0001070-T01
DMP0986	P-0001071-T01
DMP0989	P-0001073-T01
DMP0990	P-0001074-T01
DMP0985	P-0001076-T01
DMP0987	P-0001077-T01
DMP1000	P-0001078-T01
DMP0996	P-0001079-T01
DMP1002	P-0001080-T01
DMP0991	P-0001081-T01
DMP0993	P-0001082-T01
DMP0992	P-0001083-T01
